,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
16,Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,82,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4
17,Tom's Diner,Tom's Diner,AnnenMayKantereit,2019-06-28,269333,85,0.376,0.68,0.428,0.000344,0.355,-8.107,0.135,98.222,4
18,Latchika - Brega Funk,Latchika (Brega Funk),Afinho do Fluxo,2022-01-22,151858,63,0.0536,0.739,0.85,0.000191,0.305,-2.855,0.177,170.015,4
19,Joga na Minha Cara,Joga na Minha Cara,MC Marley,2022-03-24,160809,55,0.317,0.791,0.867,0.0,0.178,-1.485,0.104,155.773,4
20,Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,2021-10-22,202735,74,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,4
21,Vienna,The Stranger (Legacy Edition),Billy Joel,1977,214240,79,0.659,0.532,0.495,0.0,0.0754,-6.662,0.0343,124.936,4
22,Dancing On My Own,Only Human (Deluxe),Calum Scott,2018-03-09,260285,80,0.837,0.681,0.174,3.35e-05,0.0983,-8.745,0.0315,112.672,4
23,Pagodão in the Usa,Quarenight,Ventura,2020-05-28,152400,44,0.263,0.739,0.761,2.3e-05,0.104,-7.446,0.0776,99.583,4
24,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
25,Starlight,Starlight,Dave,2022-03-03,211935,87,0.341,0.954,0.367,5.48e-06,0.0979,-9.551,0.288,124.026,4
26,Sigue,Sigue/Forever My Love,J Balvin,2022-03-25,159386,83,0.0515,0.889,0.641,2.75e-05,0.19,-4.494,0.0668,87.99,4
27,Light Switch,Light Switch (Instrumental),Charlie Puth,2022-01-19,185680,80,0.105,0.69,0.626,0.000335,0.0881,-5.693,0.306,184.009,4
28,Yonaguni,Yonaguni,Bad Bunny,2021-06-04,206710,89,0.276,0.644,0.648,0.0,0.135,-4.601,0.118,179.951,4
29,Another Love,Long Way Down,Tom Odell,2013-06-17,244360,54,0.717,0.442,0.538,2.95e-05,0.09,-8.55,0.0451,122.758,4
30,Boyfriend,Boyfriend,Dove Cameron,2022-02-11,153000,90,0.232,0.345,0.612,0.0,0.194,-6.543,0.0608,179.773,3
31,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhé,2020-01-10,184447,92,0.0228,0.41,0.611,0.0,0.116,-8.271,0.0467,185.727,3
32,Easy On Me,30,Adele,2021-11-19,224694,85,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,4
33,Envolver,Envolver,Anitta,2021-11-11,193805,92,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,4
34,Troublemaker (feat. Flo Rida),Right Place Right Time (Expanded Edition),Olly Murs,2012-11-26,185586,75,0.015,0.762,0.863,0.0,0.125,-3.689,0.0561,106.012,4
35,Piui Tic Tac Camisinha de Chocolate,Piui Tic Tac Camisinha de Chocolate,Mc Rd,2022-02-25,160055,67,0.531,0.94,0.647,6.1e-06,0.124,-5.799,0.0862,130.037,4
36,Sunroof,Sunroof,Nicky Youre,2021-11-26,163025,82,0.35,0.768,0.716,0.0,0.15,-5.11,0.0404,131.43,4
37,sentaDONA (Remix) s2,sentaDONA (Remix) s2,Various Artists,2022-03-17,125245,84,0.252,0.925,0.454,4.19e-06,0.128,-3.533,0.273,135.02,4
38,Miserable Man,Miserable Man,David Kushner,2022-01-07,232991,76,0.926,0.632,0.349,7.5e-05,0.294,-10.289,0.0346,109.981,4
39,Let Somebody Go - Kygo Remix,Let Somebody Go (Kygo Remix),Coldplay,2022-03-11,197267,61,0.163,0.552,0.721,0.000183,0.0808,-7.313,0.0323,162.09,4
40,Slow Down (Brega Funk Remix),Quarenight,Ventura,2020-05-28,154482,37,0.0277,0.764,0.695,0.223,0.0728,-5.995,0.0913,173.998,4
41,Sentando no Pula Pula,Sentando no Pula Pula,Mc Dricka,2021-04-02,174962,46,0.399,0.904,0.63,1.44e-05,0.15,-7.066,0.166,131.883,4
42,MOMENTS,MOMENTS,GAWVI,2017-12-15,250531,50,0.152,0.875,0.488,0.0,0.683,-8.264,0.0738,135.026,4
43,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello,2022-03-04,206070,91,0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,94.996,4
44,Wildest Dreams,1989,Taylor Swift,2014-01-01,220440,78,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,4
45,Hard 2 Face Reality,Hard 2 Face Reality,Poo Bear,2018-04-06,196569,70,0.22,0.625,0.626,0.0,0.228,-5.281,0.0293,142.043,4
46,she's all i wanna be,she's all i wanna be,Tate McRae,2022-02-04,206772,87,0.0134,0.614,0.644,7.07e-06,0.117,-5.372,0.0426,160.036,4
47,Vai e Vem,Vai e Vem,Giana,2022-02-17,154060,48,0.0362,0.747,0.565,0.0,0.268,-6.111,0.0429,133.143,4
48,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),Dj Tk,2021-06-14,133680,73,0.0473,0.599,0.776,1.06e-05,0.119,-3.229,0.432,162.745,5
49,DANÇARINA,CHAMA MEU NOME,PEDRO SAMPAIO,2022-02-02,110222,86,0.0423,0.778,0.571,0.0,0.0964,-4.776,0.0788,134.999,4
50,First Time,First Time,ILLENIUM,2021-03-12,165779,65,0.0505,0.526,0.667,0.0,0.321,-5.451,0.0437,155.085,4
51,LAst dAy oN EaRTh,LAst dAy oN EaRTh,Tai Verdes,2022-01-13,172755,76,0.413,0.494,0.553,4.17e-05,0.218,-5.57,0.197,82.061,4
52,Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,221979,80,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4
53,Softcore,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,2018-11-02,206280,88,0.0484,0.575,0.568,0.000417,0.286,-5.509,0.03,93.986,4
54,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,2021-06-11,227395,82,0.0377,0.713,0.676,0.0,0.154,-5.483,0.027,99.048,4
55,Lovesick,JORDI (Deluxe),Maroon 5,2021-06-11,185068,63,0.00248,0.675,0.699,0.000604,0.114,-5.894,0.0296,123.042,4
56,Animals,V,Maroon 5,2014-09-02,231013,80,0.000185,0.279,0.742,0.0,0.593,-6.46,0.0898,189.868,4
57,Maps,V,Maroon 5,2014-09-02,189960,82,0.0205,0.742,0.713,0.0,0.059,-5.522,0.0303,120.032,4
58,Sugar,V,Maroon 5,2014-09-02,235493,80,0.0591,0.748,0.788,0.0,0.0863,-7.055,0.0334,120.076,4
59,Toxic,Faded,BoyWithUke,2021-09-10,168020,32,0.835,0.594,0.612,0.0,0.461,-6.627,0.363,179.629,4
60,Boys Don't Cry,Boys Don't Cry,Anitta,2022-01-27,136011,78,0.00178,0.589,0.842,0.0,0.113,-4.86,0.0372,164.163,4
61,Canto da Sereia,Canto da Sereia,MC Menor da VG,2020-03-26,151384,71,0.492,0.7,0.41,0.0,0.12,-5.548,0.445,129.958,4
62,Novinha Malada do Insta,Novinha Malada do Insta,MC Josh,2021-09-09,107076,75,0.636,0.535,0.441,0.000167,0.072,-4.924,0.296,85.982,5
63,Vai pegar Nunca só em 2500,Vai pegar Nunca só em 2500,Dj LK da Escócia,2022-01-11,136963,64,0.17,0.85,0.485,0.0,0.344,-3.748,0.33,129.983,4
64,É Por Isso Que Sofre,É Por Isso Que Sofre,Dj Batata,2021-11-19,164307,54,0.382,0.921,0.889,0.00138,0.0801,-5.152,0.0955,130.042,4
65,Pandora,Pandora,DJ Matt D,2021-11-26,177000,80,0.14,0.688,0.458,0.0,0.407,-9.138,0.588,124.553,4
66,No Idea,Heaven Or Hell,Don Toliver,2020-03-13,154424,81,0.524,0.652,0.631,0.000579,0.165,-5.718,0.0893,127.998,4
67,Toxic Pony,Toxic Pony,ALTÉGO,2022-01-21,198041,77,0.00757,0.775,0.652,0.000598,0.105,-9.906,0.152,143.08,4
68,Idiota,PIRATA,Jão,2021-10-20,181626,78,0.0685,0.669,0.785,0.0,0.566,-6.093,0.0421,131.957,4
69,Oh My God,30,Adele,2021-11-19,225148,86,0.091,0.534,0.725,0.0,0.0264,-3.906,0.046,88.098,4
70,"Mon Soleil - from ""Emily in Paris"" Soundtrack","Mon Soleil (from ""Emily in Paris"" Soundtrack)",Ashley Park,2021-12-22,208694,70,0.434,0.643,0.477,0.0,0.0843,-8.261,0.0536,93.003,4
71,Arcade,Arcade,Duncan Laurence,2019-03-07,183624,80,0.818,0.45,0.329,0.00109,0.135,-12.603,0.0441,71.884,3
72,Waves,A Place We Knew,Dean Lewis,2019-03-22,240013,75,0.183,0.518,0.729,0.0,0.0643,-7.193,0.0452,156.879,4
73,State Lines,Birthplace,Novo Amor,2018-10-19,208653,73,0.959,0.509,0.31,0.229,0.0963,-10.623,0.0313,137.474,3
74,NO CHÃO NOVINHA,NO CHÃO NOVINHA,Anitta,2021-12-09,136901,78,0.06,0.703,0.806,0.00661,0.375,-3.563,0.0594,141.984,4
75,MTG É Sempre Assim,MTG É Sempre Assim,DJ ARTHUZIIN,2021-03-26,162461,1,0.621,0.569,0.292,2.38e-06,0.119,-7.965,0.204,81.608,5
76,Chain My Heart,Chain My Heart,Topic,2021-06-11,146880,72,0.0791,0.663,0.849,1.2e-06,0.192,-4.462,0.0334,123.992,4
77,No Lie,Mad Love The Prequel,Sean Paul,2018-06-29,221176,84,0.0466,0.742,0.882,0.0,0.206,-2.862,0.117,102.04,4
78,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,2021-10-28,173381,92,0.237,0.728,0.783,0.0,0.434,-4.424,0.266,77.011,4
79,Ela vai de frente ela vai de costas,Ela vai de frente ela vai de costas,DJ LK Simões,2021-11-13,107833,30,0.668,0.891,0.725,2.11e-06,0.0531,-3.425,0.222,130.054,4
80,"Deu Meia Noite, Eu Sumi, Geral Soltando Fogos","Deu Meia Noite, Eu Sumi, Geral Soltando Fogos",Mc Delux,2021-11-05,129306,67,0.832,0.794,0.702,0.0,0.101,1.257,0.0423,129.991,4
81,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16,204763,40,0.434,0.859,0.525,2.34e-05,0.108,-8.051,0.0592,110.066,4
82,Happier Than Ever - Edit,Happier Than Ever (Edit),Billie Eilish,2021-07-28,151444,84,0.0468,0.334,0.599,0.000392,0.205,-5.742,0.0365,161.74,3
83,I WANNA SEE SOME ASS (feat. jetsonmade),Sweet Action,Jack Harlow,2020-03-12,125302,58,0.284,0.907,0.652,0.000337,0.135,-7.733,0.0578,107.952,4
84,Poison,Poison,Rita Ora,2015-05-18,202906,69,0.0821,0.579,0.738,1.52e-06,0.232,-5.711,0.0542,124.023,4
85,Baby Me Atende,Baby Me Atende,Matheus Fernandes,2021-02-26,225671,69,0.607,0.65,0.792,2.36e-05,0.92,-3.825,0.0393,154.027,4
86,abcdefu,abcdefu,GAYLE,2021-08-13,168601,93,0.299,0.695,0.54,0.0,0.367,-5.692,0.0493,121.932,4
87,Heat Waves,Heat Waves,Glass Animals,2020-06-29,238805,87,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
88,Someone To You,Empires On Fire,BANNERS,2017-11-03,219800,73,0.00568,0.468,0.936,0.0,0.24,-3.683,0.0455,75.05,4
89,"Welcome Home, Son",Ghost,Radical Face,2007-03-02,287634,69,0.723,0.587,0.497,0.782,0.142,-10.757,0.0307,144.972,3
90,Too Small For The World,Too Small For The World,Taska Black,2021-10-08,177898,48,0.0624,0.714,0.747,0.000164,0.207,-5.78,0.054,114.024,4
91,Tie Me Down (with Elley Duhé),Tie Me Down (with Elley Duhé),Gryffin,2018-08-03,218295,66,0.135,0.548,0.839,0.0,0.102,-2.371,0.0644,98.932,4
92,Miss You a Little (feat. lovelytheband),Miss You a Little (feat. lovelytheband),Bryce Vine,2021-08-06,168180,66,0.347,0.636,0.886,0.0,0.171,-4.76,0.0433,140.888,4
93,The Boy Prince,All But The Sun,Winterbourne,2014-01-01,207976,55,0.0282,0.65,0.827,0.000804,0.303,-6.551,0.0328,121.008,4
94,"Take Yours, I'll Take Mine",The Home We Built,Matthew Mole,2013-07-29,223680,64,0.549,0.68,0.609,0.0,0.337,-8.948,0.0437,138.096,4
95,Por Supuesto,De Primeira,Marina Sena,2021-08-19,186698,74,0.665,0.825,0.574,4.94e-06,0.0751,-6.383,0.0485,119.999,4
96,Where Are You Now,Where Are You Now,Lost Frequencies,2021-07-30,148197,91,0.515,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966,4
97,Ravestar,Ravestar,Ventura,2020-10-16,140629,29,0.0411,0.842,0.644,0.00112,0.0858,-5.984,0.268,132.056,4
98,Chosen (feat. Ty Dolla $ign),No Love Lost (Deluxe),Blxst,2020-12-04,161684,80,0.336,0.571,0.767,0.0,0.0809,-5.16,0.287,93.421,4
99,THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,91,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,4
100,MONEY,LALISA,LISA,2021-09-10,168227,82,0.161,0.831,0.554,6.12e-05,0.152,-9.998,0.218,140.026,4
101,Tides,=,Ed Sheeran,2021-10-29,195760,68,0.0167,0.631,0.825,0.0,0.122,-3.971,0.0433,129.942,3
102,Profissão F0Da,Profissão F0Da,DJ Roca,2021-08-19,146307,69,0.0729,0.717,0.549,0.173,0.294,-6.57,0.076,130.039,4
103,"Louis V, Menina Linda","Louis V, Menina Linda",Sidoka,2021-05-12,215004,72,0.71,0.905,0.47,2.37e-06,0.127,-11.143,0.115,127.054,4
104,Aqui Em BH Ninguém É de Ninguém,Aqui Em BH Ninguém É de Ninguém,Dj Scar,2021-07-30,160413,63,0.467,0.638,0.495,0.0,0.221,-5.328,0.112,85.547,5
105,A-O-K,TV,Tai Verdes,2021-05-20,173640,77,0.125,0.731,0.626,0.0,0.183,-6.919,0.0805,82.488,4
106,Sigilo Perigoso,Sigilo Perigoso,Anderson Neiff,2021-10-13,171693,60,0.112,0.794,0.928,9.06e-06,0.179,-2.773,0.333,149.937,4
107,Un Año,FANTASÍA,Sebastian Yatra,2019-04-12,163813,65,0.14,0.773,0.378,0.0,0.133,-7.062,0.0531,94.946,4
108,Ela me Falou Que Quer Rave,Ela me Falou Que Quer Rave,Various Artists,2021-10-25,235206,73,0.271,0.832,0.641,0.0194,0.487,-6.048,0.0897,133.041,4
109,Camisa 10 - Ao Vivo,O Som das Multidões,Turma do Pagode,2012-07-09,176586,60,0.719,0.516,0.896,0.0,0.898,-5.704,0.236,88.759,4
110,pessoa certa hora errada,pessoa certa hora errada,GIULIA BE,2021-09-09,164170,65,0.422,0.751,0.493,0.0,0.629,-4.953,0.17,141.812,4
111,O Porte da 40,O Porte da 40,Various Artists,2021-07-01,184615,65,0.771,0.624,0.555,0.012,0.103,-1.832,0.0781,77.385,4
112,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",DJ Patrick Muniz,2021-09-28,214270,72,0.63,0.863,0.701,0.000583,0.276,-5.038,0.212,129.911,4
113,Bala Love,Bala Love,Mc Anjim,2021-06-18,221538,73,0.807,0.628,0.318,0.101,0.19,-8.887,0.0507,86.453,5
114,Stereo Hearts (feat. Adam Levine),Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2011-06-14,210960,57,0.0319,0.646,0.795,0.0,0.267,-3.293,0.0976,89.99,4
115,Breathe,Take Shelter,Years & Years,2014-01-01,233228,64,0.222,0.746,0.486,1.41e-06,0.123,-7.004,0.0344,92.057,4
116,I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018-05-31,197436,81,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4
117,GALOPA,GALOPA,PEDRO SAMPAIO,2021-09-16,140500,77,0.285,0.763,0.85,0.0,0.104,-4.036,0.0409,150.009,4
118,Where The Wild Things,Where The Wild Things,Labrinth,2019-10-31,198401,0,0.109,0.609,0.522,1.06e-05,0.138,-5.569,0.0655,139.991,4
119,Saturday Nights,Suncity,Khalid,2018-10-19,209546,62,0.635,0.54,0.439,1.93e-05,0.0993,-8.591,0.115,167.908,4
120,Shivers,Shivers,Ed Sheeran,2021-09-13,207853,79,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
121,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,81,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,4
122,"Rave do Tuim 2 (feat. Mc Rd, Mc Gw, Bob Anne, DJ DN, Megabaile Do Areias, DJ Douglinhas, DJ Tezinho, JC NO BEAT & DJ Ery) - Mansão Funk Rave","Rave do Tuim 2 (feat. Mc Rd, Mc Gw, Bob Anne, DJ DN, Megabaile Do Areias, DJ Douglinhas, DJ Tezinho, JC NO BEAT & DJ Ery) [Mansão Funk Rave]",Dj W-Beatz,2021-05-07,150288,24,0.0729,0.765,0.819,0.0198,0.0939,-6.229,0.205,132.049,4
123,everything sucks,everything sucks,vaultboy,2021-05-21,115401,76,0.00772,0.76,0.371,0.0,0.0785,-8.964,0.0531,138.023,4
124,Like I Can,In The Lonely Hour (Deluxe),Sam Smith,2014-01-01,167065,52,0.343,0.656,0.627,2.17e-05,0.124,-6.627,0.0379,99.933,4
125,Mood (feat. iann dior),El Dorado,24kGoldn,2021-03-26,140533,85,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,91.007,4
126,Shivers,Shivers,Ed Sheeran,2021-09-10,207853,14,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
127,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,39,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
128,Bad Day,Bad Day,Justus Bennetts,2021-09-07,108800,70,0.0125,0.883,0.713,0.0,0.45,-4.684,0.307,89.025,4
129,Giants,Giants,Dermot Kennedy,2020-06-24,177173,63,0.0145,0.579,0.839,3.04e-05,0.201,-5.409,0.0703,158.141,4
130,Dandelions,Safe Haven,Ruth B.,2017-05-05,233720,89,0.0157,0.609,0.692,0.0,0.0864,-2.958,0.0259,116.959,3
131,Honeypie,For Abby,JAWNY,2020-10-27,135581,74,0.061,0.74,0.688,0.0,0.138,-4.361,0.0916,115.035,4
132,Choker,Scaled And Icy,Twenty One Pilots,2021-05-21,223065,66,0.306,0.7,0.664,1.89e-05,0.249,-8.211,0.0394,142.009,4
133,Rave Breaking Free,Eae DJ Topo,DJ TOPO,2020-07-24,234000,29,0.329,0.551,0.577,0.0,0.134,-5.792,0.236,129.711,4
134,Young & Alive,Young & Alive,Bazzi,2020-03-05,160465,67,0.326,0.716,0.563,0.0,0.119,-5.486,0.0425,86.005,4
135,NINGUÉM ME ENSINOU,NINGUÉM ME ENSINOU,Lagum,2020-10-02,157705,57,0.0221,0.684,0.644,1.8e-05,0.0664,-7.69,0.0509,127.866,4
136,Roct Pot 02 (MC Laranjinha),Roct Pot 02 (MC Laranjinha),GORDÃO DO PC,2021-04-02,107076,0,0.37,0.819,0.759,0.00792,0.0863,0.591,0.295,86.059,5
137,Heartbeats,Heartbeats,Tom Walker,2019-10-03,192233,41,0.0639,0.45,0.753,0.0,0.0952,-5.461,0.11,169.996,4
138,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,About Love (From The Netflix Film “To All The Boys: P.S. I Still Love You”),MARINA,2020-02-07,214106,59,0.331,0.636,0.758,1.01e-05,0.16,-5.567,0.0427,97.025,4
139,Rise,Blue,Jonas Blue,2018-11-09,194407,70,0.327,0.687,0.785,0.0,0.203,-4.65,0.0333,106.046,4
140,My Type,My Type EP,Saint Motel,2014-08-16,204811,68,0.0641,0.595,0.896,5.82e-05,0.0748,-2.951,0.047,118.001,4
141,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,89,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
142,Passarinho Que Som É Esse,Passarinho Que Som É Esse,DJ TOPO,2021-08-06,148615,58,0.538,0.889,0.78,0.00344,0.088,-5.208,0.14,130.042,4
143,Getting Older,Happier Than Ever,Billie Eilish,2021-07-30,244221,73,0.974,0.599,0.128,0.121,0.115,-17.261,0.109,159.679,4
144,YOUTH,Blue Neighbourhood (Deluxe),Troye Sivan,2015-12-09,185194,72,0.0625,0.628,0.737,0.0,0.0777,-4.437,0.041,91.507,4
145,Vou Te Mostrar o Neném,Vou Te Mostrar o Neném,MC Reizin,2021-07-23,141079,30,0.179,0.697,0.848,0.0,0.347,-8.257,0.294,165.023,4
146,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,89,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4
147,Without Me,Manic,Halsey,2020-01-17,201660,77,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4
148,Passa lá em casa vs Sem fazer Pirraça,Passa lá em casa vs Sem fazer Pirraça,Mc Rennan,2021-06-26,149333,24,0.317,0.536,0.669,0.0,0.305,-4.121,0.237,126.145,4
149,GR6 Convoca #01 (Relacionamentos),GR6 Convoca #01 (Relacionamentos),Mc Davi,2021-05-22,472615,55,0.564,0.558,0.448,0.0,0.109,-5.672,0.057,129.99,4
150,Se Soltó - Remix,Se Soltó (Remix),Street Word,2021-04-17,206158,5,0.0342,0.843,0.52,0.181,0.201,-8.902,0.228,92.03,4
151,Lost In The Wild,What If Nothing,WALK THE MOON,2017-11-10,235960,65,0.007,0.483,0.77,0.0,0.182,-4.829,0.0512,132.992,4
152,Holiday,Holiday,KSI,2021-06-18,193733,49,0.152,0.356,0.684,0.0,0.101,-7.347,0.0878,87.188,4
153,Joga Esse Rabão pro Pai,Joga Esse Rabão pro Pai,DENNIS,2019-10-24,151318,29,0.205,0.643,0.585,2.42e-06,0.0876,-4.73,0.145,106.794,3
154,Dinheiro Ela Mesmo Tem,Dinheiro Ela Mesmo Tem,Mc Frog,2021-01-14,199384,35,0.688,0.938,0.635,4.2e-06,0.123,-0.925,0.0716,130.063,4
155,Wrecked,Wrecked,Imagine Dragons,2021-07-02,244004,72,0.148,0.626,0.56,1.51e-05,0.109,-5.82,0.0288,93.989,4
156,Nirvana,Nirvana,A7S,2021-06-04,157910,61,0.0723,0.758,0.694,0.0,0.0566,-4.922,0.0453,117.969,4
157,Jalebi Baby (Tesher x Jason Derulo),Jalebi Baby (Tesher x Jason Derulo),Tesher,2021-05-28,169154,74,0.0289,0.691,0.829,0.0,0.254,-7.179,0.0412,93.059,4
158,Gone Are The Days (feat. James Gillespie),Gone Are The Days (feat. James Gillespie),Kygo,2021-04-16,196677,66,0.355,0.528,0.453,1.06e-06,0.104,-9.398,0.0396,119.761,4
159,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-05-20,183725,81,0.216,0.595,0.784,0.0,0.0608,-4.878,0.102,124.111,4
160,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,We Are The People (feat. Bono & The Edge) [Official UEFA EURO 2020 Song],Martin Garrix,2021-05-13,217000,69,0.248,0.66,0.733,8.96e-06,0.17,-4.619,0.0359,119.933,4
161,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,91,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
162,Errada Ela Não Tá,Errada Ela Não Tá,MC JottaPê,2021-06-18,178461,58,0.432,0.76,0.585,0.0,0.0785,-6.967,0.0476,155.933,4
163,Tanto Faz,Tanto Faz,MC L da Vinte,2020-12-18,149538,57,0.339,0.83,0.487,1.9e-06,0.0823,-0.78,0.0964,86.671,3
164,Me Liga Depois Que Eu to Ocupado (Brega Funk),Me Liga Depois Que Eu to Ocupado (Brega Funk),DJ TOPO,2021-07-02,111771,45,0.181,0.754,0.92,0.000486,0.0504,0.681,0.101,175.114,4
165,You Right,Planet Her,Doja Cat,2021-06-25,186173,85,0.0164,0.828,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4
166,Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,199604,83,0.31,0.78,0.718,0.000163,0.0932,-3.605,0.0506,127.949,4
167,SUN GOES DOWN,SUN GOES DOWN,Lil Nas X,2021-05-21,168275,67,0.0837,0.551,0.636,4.28e-06,0.112,-6.798,0.054,174.065,4
168,Wait,Red Pill Blues (Deluxe),Maroon 5,2017-11-03,190642,47,0.0959,0.655,0.603,0.0,0.107,-5.014,0.0555,126.088,4
